"","Em_innitials","Endosperm","SC_endothelium","SC_epidermis","SC_hillum_parenchyma","SC_hillum_vasculature","SC_inner_integument","SC_parenchyma","SC_phloem"
"Legume.fam3.01036_Glyma.13G325200",0,0,0,0,0,0,0,1,0
"Legume.fam3.01036_Glyma.12G076200",0,0,0,0,0,0,0,0,0
"Legume.fam3.01036_Glyma.11G145500",0,0,0,0,0,0,0,0,0
"Legume.fam3.01037_Glyma.11G145900",0,0,0,0,0,0,0,0,0
"Legume.fam3.01037_Glyma.12G075700",0,0,0,0,0,0,0,0,0
"Legume.fam3.01037_Glyma.13G325600",0,0,1,0,0,0,0,0,0
"Legume.fam3.01037_Glyma.12G172100",0,0,0,0,0,0,0,0,0
"Legume.fam3.01058_Glyma.09G007900",0,0,0,1,0,0,0,0,0
"Legume.fam3.01058_Glyma.15G112300",0,0,0,1,1,0,0,0,0
"Legume.fam3.01058_Glyma.07G263800",0,0,0,0,0,0,0,0,0
"Legume.fam3.01058_Glyma.17G010100",0,0,0,0,0,0,1,0,0
"Legume.fam3.01060_Glyma.09G180300",0,0,0,0,0,0,1,0,0
"Legume.fam3.01060_Glyma.07G097700",0,0,0,0,0,0,1,0,0
"Legume.fam3.01060_Glyma.05G241900",1,0,0,0,0,0,0,0,0
"Legume.fam3.01060_Glyma.08G049400",0,0,0,0,1,0,0,0,0
"Legume.fam3.01081_Glyma.20G218902",0,0,0,0,1,0,0,0,0
"Legume.fam3.01081_Glyma.10G171300",0,0,0,0,0,0,1,0,0
"Legume.fam3.01081_Glyma.18G243100",0,1,0,0,0,0,0,0,0
"Legume.fam3.01081_Glyma.09G249300",0,1,0,0,0,0,0,0,0
"Legume.fam3.01085_Glyma.16G104500",0,0,0,0,0,0,1,0,1
"Legume.fam3.01085_Glyma.16G074200",0,0,0,0,0,0,0,1,1
"Legume.fam3.01085_Glyma.01G148900",1,0,0,0,0,0,0,0,1
"Legume.fam3.01085_Glyma.09G212800",0,0,0,0,0,0,0,1,0
"Legume.fam3.01086_Glyma.17G123800",0,0,1,0,0,0,0,0,0
"Legume.fam3.01086_Glyma.05G015400",0,0,0,0,0,0,0,0,0
"Legume.fam3.01086_Glyma.04G144900",0,0,0,1,1,0,0,0,0
"Legume.fam3.01086_Glyma.06G208900",0,0,0,1,1,0,0,0,0
"Legume.fam3.01087_Glyma.14G223000",0,0,0,0,0,0,1,0,0
"Legume.fam3.01087_Glyma.17G261500",0,0,0,0,0,0,0,0,0
"Legume.fam3.01087_Glyma.06G019800",0,0,0,0,0,1,0,0,0
"Legume.fam3.01087_Glyma.04G019500",0,0,0,0,0,0,0,1,0
"Legume.fam3.01090_Glyma.14G171500",0,0,0,0,0,0,0,0,0
