RNA_hp1:Dividing_cell	RNA_hp1:Endodermis	RNA_hp1:Epidermis	RNA_hp1:Inner_cortex	RNA_hp1:Outer_cortex	RNA_hp1:Pericycle	RNA_hp1:Phloem	RNA_hp1:Pith	RNA_hp1:Procambium	RNA_hp1:Trichome	RNA_hp1:Unknown	RNA_hp1:Vascular_parenchyma	RNA_hp1:Xylem	RNA_hp2:Dividing_cell	RNA_hp2:Endodermis	RNA_hp2:Epidermis	RNA_hp2:Inner_cortex	RNA_hp2:Outer_cortex	RNA_hp2:Pericycle	RNA_hp2:Phloem	RNA_hp2:Pith	RNA_hp2:Procambium	RNA_hp2:Trichome	RNA_hp2:Unknown	RNA_hp2:Vascular_parenchyma	RNA_hp2:Xylem
Glyma.01G033300	11	18	19	19	92	19	35	96	46	30	4	80	10	3	18	20	9	102	22	43	74	40	36	6	92	9
Glyma.01G033400	7	5	7	3	34	11	9	43	21	19	5	27	1	1	6	4	6	41	3	15	26	24	10	5	32	2
Glyma.01G033700	9	0	3	17	25	3	3	23	8	3	3	28	0	11	2	3	41	33	0	5	26	11	3	1	31	4
Glyma.01G033800	10	9	2	1	21	4	6	16	15	5	0	15	6	7	0	4	4	42	3	2	14	17	9	0	13	5
Glyma.01G033900	0	2	0	1	7	5	0	14	13	2	0	4	1	1	1	0	0	4	0	7	16	16	2	0	5	2
Glyma.01G034000	2	2	22	3	15	1	4	8	11	9	0	15	0	6	4	76	5	20	1	2	19	5	4	6	20	3
Glyma.01G034100	3	1	3	0	5	0	3	3	3	1	0	3	36	5	1	1	1	3	3	2	4	2	1	0	1	83
Glyma.01G034300	7	3	4	4	11	3	3	9	26	9	0	15	0	12	0	2	3	16	5	5	7	30	9	0	5	2
Glyma.01G034900	3	0	3	1	6	1	3	2	5	1	1	11	1	2	0	16	2	14	0	7	2	3	1	1	12	0
Glyma.01G035100	21	9	13	19	105	9	22	65	44	12	6	67	11	30	12	14	18	152	6	35	71	66	12	17	64	5
Glyma.01G035300	2	1	0	3	28	8	4	15	2	2	0	12	1	4	0	1	1	26	5	8	11	3	2	0	23	0
Glyma.01G035600	9	7	5	10	57	7	3	81	17	4	1	35	1	10	7	9	14	100	4	9	114	18	12	3	88	1
Glyma.01G035700	7	3	8	1	30	3	4	43	32	7	0	20	1	9	2	21	4	26	0	5	38	19	9	2	34	1
Glyma.01G036000	9	6	22	5	102	1	8	53	9	29	0	65	6	36	33	135	60	423	12	37	327	72	86	7	366	11
Glyma.01G036200	40	41	29	62	184	26	35	130	74	94	16	108	3	35	48	42	57	202	25	46	153	97	97	20	144	13
Glyma.01G036500	28	11	37	28	161	12	20	93	49	44	7	63	38	29	14	74	23	223	10	22	88	56	48	5	72	42
Glyma.01G036700	9	12	13	6	42	10	15	40	29	32	3	24	4	16	13	16	15	72	6	9	49	43	27	5	43	2
Glyma.01G036800	2	0	0	3	9	0	5	9	11	8	0	9	3	5	2	4	1	9	1	2	15	19	4	0	5	3
Glyma.01G036900	21	25	31	18	195	13	12	118	59	33	7	85	5	22	31	41	31	275	10	20	203	90	59	21	157	10
Glyma.01G037200	6	24	15	0	35	14	6	12	19	111	5	19	3	7	35	16	8	54	16	5	18	9	165	6	28	4
Glyma.01G037300	6	5	3	3	28	4	8	30	20	10	6	21	6	4	11	13	8	35	8	10	33	20	8	2	27	8
Glyma.01G037400	3	5	4	5	28	7	3	12	16	20	4	16	6	6	6	9	9	36	3	2	19	24	13	3	13	6
Glyma.01G037700	26	4	58	26	209	11	12	84	37	21	9	49	19	30	6	100	23	230	7	15	65	36	26	18	46	31
Glyma.01G037900	9	6	17	7	68	7	22	34	34	30	14	30	3	18	8	25	15	64	5	16	42	29	28	20	52	4
Glyma.01G038002	9	4	1	3	17	3	10	24	24	10	6	19	3	5	4	12	9	22	4	14	15	30	7	3	22	1
Glyma.01G038100	9	4	6	8	41	7	14	30	23	15	1	30	2	10	16	6	13	58	4	12	39	21	17	5	37	5
Glyma.01G038250	8	5	6	6	40	7	6	20	20	29	1	14	5	12	8	14	8	49	4	9	28	19	19	2	19	9
Glyma.01G038300	38	36	37	41	186	19	47	115	103	80	6	90	41	26	40	35	28	229	32	43	111	97	66	11	100	31
Glyma.01G038400	13	0	2	1	36	2	1	6	4	2	0	7	0	11	3	1	1	21	2	0	5	11	0	2	7	0
Glyma.01G038500	4	4	0	4	15	3	6	23	5	6	2	16	2	3	2	3	1	25	2	7	27	9	8	4	17	3
Glyma.01G038600	36	12	15	38	107	34	122	158	28	70	4	156	1	44	16	13	89	213	27	151	216	60	46	9	249	2
Glyma.01G038700	4	1	5	4	25	2	14	18	12	10	4	3	1	6	2	11	3	32	3	12	25	30	5	2	21	3
Glyma.01G038800	21	31	19	26	131	45	20	101	67	63	4	77	14	24	50	39	26	178	50	31	97	89	101	11	96	14
Glyma.01G038900	4	2	1	1	6	0	70	3	2	4	0	2	0	1	0	1	0	6	1	115	2	6	1	3	2	1
Glyma.01G039000	4	0	21	0	24	0	9	12	8	9	0	12	4	0	0	49	4	32	0	15	18	13	3	1	21	9
Glyma.01G039200	11	1	5	8	18	0	4	14	13	4	0	10	1	9	3	10	2	25	1	2	12	18	3	0	16	5
Glyma.01G039500	6	5	7	8	39	3	14	67	46	33	10	59	10	4	7	8	4	61	2	17	69	41	41	7	88	4
Glyma.01G039800	4	1	5	0	11	2	6	13	9	4	4	21	0	5	3	6	3	24	10	8	23	12	8	1	37	2
Glyma.01G040000	4	4	7	7	23	2	7	8	14	5	1	20	2	5	4	9	8	26	2	5	12	16	10	5	18	2
Glyma.01G040200	3	2	13	12	32	1	2	20	6	5	1	20	1	2	3	5	10	52	3	2	33	9	6	2	32	0
Glyma.01G040300	9	1	14	5	68	3	8	43	22	25	4	32	2	6	7	33	6	73	6	7	39	28	28	3	26	4
Glyma.01G040400	20	28	116	28	270	31	29	198	63	675	21	158	8	16	11	162	30	308	45	35	132	59	798	58	223	16
Glyma.01G040600	5	9	29	8	78	2	4	22	44	37	5	26	6	5	6	23	7	113	1	11	18	53	23	6	63	6
Glyma.01G040700	9	3	8	7	12	1	194	12	6	4	7	10	2	6	5	8	7	20	0	284	18	12	10	3	20	5
Glyma.01G040900	16	15	6	17	66	27	44	45	72	76	3	29	17	32	30	9	14	69	39	58	38	99	131	10	40	22
Glyma.01G041300	15	9	9	15	36	8	11	32	21	28	3	29	1	21	3	7	13	63	8	13	39	34	22	6	32	3
Glyma.01G041400	2	61	2	2	11	11	2	18	3	50	29	15	1	4	76	1	0	24	28	5	10	5	26	78	14	0
Glyma.01G041500	12	19	14	25	101	7	6	70	44	54	9	61	5	7	12	3	27	138	5	17	87	30	26	12	97	13
Glyma.01G041600	2	1	6	1	13	2	1	13	2	5	4	9	4	1	3	14	1	22	2	0	7	11	6	6	14	8
Glyma.01G041651	6	5	3	3	25	2	2	13	14	11	0	10	0	7	4	8	7	29	6	7	18	13	19	7	21	7
Glyma.01G041700	9	13	53	35	150	10	23	82	22	29	10	100	1	17	12	79	62	195	11	38	120	22	34	10	162	4
Glyma.01G042300	16	21	23	54	323	27	41	139	56	87	14	159	4	21	25	29	86	349	35	42	148	42	118	9	176	8
Glyma.01G042400	8	6	12	9	42	13	3	33	14	14	2	16	2	16	9	12	13	56	5	9	31	26	8	1	35	4
Glyma.01G042800	18	19	23	21	99	15	20	82	39	41	11	56	19	29	18	32	25	99	22	22	69	49	57	11	62	23
Glyma.01G043600	1	3	3	6	5	2	23	12	6	0	0	6	2	0	0	2	6	7	0	37	6	3	4	4	9	1
Glyma.01G043800	13	3	1	10	21	5	4	17	30	2	3	13	0	15	1	5	12	28	3	9	14	22	1	1	24	2
Glyma.01G044100	25	84	71	30	281	64	30	157	63	255	4	144	14	17	94	120	47	385	75	30	212	86	313	8	170	12
Glyma.01G044200	17	22	17	16	107	14	14	84	34	75	10	45	18	20	32	32	49	104	11	26	98	55	97	16	90	19
Glyma.01G044300	45	2	1	4	5	3	8	12	23	6	9	31	1	67	3	1	1	7	1	11	10	31	7	13	33	1
Glyma.01G044600	22	36	105	224	818	28	31	139	195	20	4	182	3	20	55	126	193	916	29	34	136	211	36	32	184	12
Glyma.01G045100	52	42	99	116	404	52	135	327	166	199	21	345	19	63	108	146	189	680	70	177	503	220	291	39	527	43
Glyma.01G045200	8	8	17	8	40	17	54	89	13	14	2	32	4	19	6	31	8	41	16	50	95	16	10	7	31	8
Glyma.01G045300	8	3	1	3	5	0	5	4	3	8	2	7	0	12	2	3	4	14	0	2	7	18	10	0	12	2
Glyma.01G045400	10	2	4	29	76	2	5	73	29	1	8	35	3	6	5	23	30	73	5	11	97	32	6	16	62	4
Glyma.01G045500	2	1	10	1	24	2	0	14	11	2	2	12	0	2	2	12	3	20	2	4	11	11	7	2	15	1
Glyma.01G045700	2	2	1	7	23	1	9	17	11	6	1	13	0	4	3	6	7	20	4	15	19	16	6	2	16	1
Glyma.01G045800	12	15	20	13	59	8	18	60	21	107	6	31	4	9	16	31	13	77	8	20	72	31	99	10	58	5
Glyma.01G046000	10	0	2	2	8	0	2	4	9	4	0	8	3	13	7	5	6	9	0	7	9	13	2	2	9	2
Glyma.01G046200	1	1	4	2	10	2	4	8	8	1	0	7	0	5	5	8	5	13	1	5	7	5	2	3	6	4
Glyma.01G046400	40	1	2	1	18	2	3	3	7	85	1	3	0	44	1	7	2	20	0	4	5	6	96	0	14	1
Glyma.01G046500	6	5	2	6	13	5	8	18	8	33	0	13	7	9	11	5	8	53	7	6	27	13	33	0	13	5
Glyma.01G046700	12	13	9	13	69	12	27	70	72	23	6	61	10	22	22	17	36	87	16	51	91	89	25	9	79	9
Glyma.01G047000	30	12	16	19	60	8	27	44	82	20	4	67	5	45	9	24	32	92	24	41	52	67	23	13	60	9
Glyma.01G047100	40	33	33	62	216	31	58	227	121	81	8	142	25	44	39	56	59	240	45	84	196	133	100	13	176	19
Glyma.01G047300	9	4	5	6	26	3	11	27	20	14	6	24	2	18	10	8	2	28	8	13	34	32	11	4	31	0
Glyma.01G047600	6	2	9	6	14	0	2	14	18	0	0	11	5	5	2	13	7	19	0	6	21	17	4	3	20	3
Glyma.01G047700	20	17	30	27	182	14	23	102	73	53	15	70	15	22	39	53	45	207	24	37	99	102	64	9	104	14
Glyma.01G048000	4	2	0	2	8	11	7	74	9	7	5	11	32	9	2	5	0	17	9	16	56	20	1	2	10	25
Glyma.01G048500	35	40	28	57	226	22	47	139	91	286	15	157	62	43	33	39	62	244	28	57	170	126	307	26	168	64
Glyma.01G048700	2	3	1	6	17	1	5	13	7	3	2	7	6	2	1	1	6	8	0	2	7	4	2	0	3	7
Glyma.01G048800	22	7	0	5	14	1	2	10	102	2	1	18	3	7	4	2	5	20	1	4	10	90	4	2	24	20
Glyma.01G049100	10	0	3	11	11	7	34	19	28	3	1	20	5	16	5	5	7	17	4	47	17	59	7	1	24	7
Glyma.01G050100	183	43	30	40	102	20	22	261	241	31	33	128	5	274	13	30	26	71	33	27	305	328	35	72	100	19
Glyma.01G050400	31	20	16	28	100	16	18	71	56	35	13	85	3	34	20	13	32	80	9	24	68	57	38	11	89	6
Glyma.01G050500	6	1	6	4	21	5	11	13	11	8	0	14	3	7	4	3	3	35	4	14	16	20	14	3	11	6
Glyma.01G050900	0	3	1	0	12	0	2	8	2	3	2	5	2	2	1	5	4	21	0	0	4	4	1	3	3	2
Glyma.01G051300	3	15	14	7	125	7	11	59	19	29	0	22	3	2	12	20	10	129	1	9	36	10	17	6	16	2
Glyma.01G051400	123	79	110	100	360	75	130	245	308	174	25	317	23	170	73	120	107	408	80	154	259	327	191	56	352	29
Glyma.01G052200	8	8	8	3	35	1	8	28	21	11	4	11	3	11	5	8	3	33	2	7	22	25	11	0	24	5
Glyma.01G052300	1	4	1	0	5	3	19	5	6	3	0	7	2	2	6	1	0	8	0	30	2	6	2	1	11	4
Glyma.01G052400	12	29	24	30	99	9	22	93	55	55	3	58	14	27	23	24	36	158	17	23	99	48	56	9	81	5
Glyma.01G052500	7	2	3	7	16	1	4	4	15	2	0	12	1	3	0	0	4	22	1	4	8	27	3	1	5	2
Glyma.01G052600	7	7	3	8	28	2	21	18	22	10	4	12	3	6	13	9	6	35	6	25	25	18	11	2	25	9
Glyma.01G052800	5	2	4	3	14	1	6	15	14	12	5	10	4	6	2	4	3	25	1	2	12	14	8	3	11	3
Glyma.01G053100	21	5	2	2	25	6	6	98	13	8	2	36	1	9	1	1	1	10	2	5	59	27	4	2	32	4
Glyma.01G053200	8	3	5	3	28	9	3	25	20	15	6	24	1	16	4	4	2	24	4	5	21	32	12	0	25	7
Glyma.01G053300	33	4	5	9	44	4	16	46	116	8	2	46	10	35	4	2	8	46	10	20	51	119	9	1	58	6
Glyma.01G053600	1	1	2	1	24	1	1	20	8	21	0	6	1	1	3	3	2	17	5	4	14	13	24	1	7	2
Glyma.01G053700	3	0	0	5	10	2	3	11	19	4	1	9	0	11	3	5	2	14	1	3	17	11	10	2	9	1
Glyma.01G053800	4	11	23	3	34	24	6	130	39	27	5	35	1	10	10	50	19	69	17	20	185	38	34	8	65	3
Glyma.01G054000	1	1	3	4	16	1	62	16	9	2	2	13	0	3	2	6	2	22	0	91	13	21	4	3	12	3
Glyma.01G054200	9	3	2	5	23	11	4	27	18	8	3	19	1	6	3	1	6	22	6	10	18	10	12	0	18	1
Glyma.01G054300	2	1	6	3	18	7	4	17	16	12	0	10	3	6	5	6	7	23	2	4	14	19	9	1	19	2
Glyma.01G054400	23	7	7	34	65	9	19	121	53	13	7	67	0	20	5	14	31	80	3	16	122	57	7	16	72	6
Glyma.01G054500	14	0	3	4	3	2	5	4	18	5	5	14	1	12	1	1	2	6	1	3	14	19	7	7	23	3
Glyma.01G054800	4	6	5	9	15	7	5	22	19	21	4	16	2	7	6	3	6	28	6	5	15	20	21	3	15	4
Glyma.01G055300	9	8	12	9	37	10	6	35	32	16	1	35	5	14	5	11	8	62	1	12	44	30	21	9	37	5
Glyma.01G055400	5	20	11	11	68	40	14	64	24	14	1	71	2	6	19	12	13	84	20	14	50	32	14	3	55	2
Glyma.01G055500	3	2	1	3	7	1	2	12	5	3	1	6	0	4	1	1	2	19	2	2	6	7	8	0	4	1
Glyma.01G056000	10	1	1	0	3	0	14	2	4	5	1	9	6	6	3	2	1	13	1	26	8	7	2	2	6	4
Glyma.01G056300	31	27	41	61	199	52	49	224	151	51	17	155	45	41	37	52	59	234	54	47	232	155	46	27	188	26
Glyma.01G056800	22	39	100	123	331	52	104	197	257	121	23	380	32	36	67	180	142	400	56	121	218	339	149	32	451	32
Glyma.01G057100	12	13	13	12	63	10	15	52	49	34	23	45	40	26	13	20	23	63	8	16	74	61	21	28	71	62
Glyma.01G057400	3	13	6	5	26	4	11	22	16	18	1	20	2	9	5	4	6	35	9	16	24	14	22	8	16	0
Glyma.01G057500	36	15	7	15	60	15	39	119	95	28	1	72	12	46	14	14	9	54	14	37	111	108	31	7	76	15
Glyma.01G058000	22	4	17	41	48	6	10	32	43	14	7	36	6	28	14	14	48	78	8	11	32	40	25	14	44	12
Glyma.01G058200	16	1	1	10	6	2	5	7	17	8	0	9	2	19	3	2	8	18	6	5	12	28	10	2	19	0
Glyma.01G058300	16	23	7	36	64	10	40	60	68	20	3	28	5	16	22	13	47	90	7	49	62	70	12	1	40	12
Glyma.01G058500	11	25	23	13	78	44	11	40	25	31	4	62	2	7	29	23	15	70	32	20	39	23	46	16	72	5
Glyma.01G059100	5	2	0	4	17	1	4	8	7	4	1	9	0	6	3	2	3	7	0	1	7	8	3	3	8	2
Glyma.01G059200	10	6	7	7	38	8	12	32	33	32	2	22	12	11	13	11	12	41	12	7	23	56	26	11	48	3
Glyma.01G059900	4	1	2	5	14	0	6	10	13	2	2	8	1	11	2	3	4	23	4	3	10	16	8	5	14	3
Glyma.01G060300	6	2	2	6	8	8	6	17	16	31	0	6	2	18	4	0	8	14	11	4	18	7	16	3	8	0
Glyma.01G060700	39	20	32	39	128	32	41	106	116	55	9	94	16	71	49	38	35	167	41	53	121	132	75	18	159	13
Glyma.01G060900	33	8	15	13	91	12	21	51	58	20	20	40	15	26	15	30	19	104	13	26	54	61	29	14	62	36
Glyma.01G061500	53	74	64	65	301	45	88	245	177	157	16	253	28	74	77	86	58	310	55	99	245	235	179	51	243	44
Glyma.01G061700	170	79	78	193	503	42	101	475	286	173	43	549	13	165	96	130	237	567	71	112	502	336	178	81	639	22
Glyma.01G061800	8	1	4	4	3	7	3	7	4	4	0	9	1	8	2	2	0	2	4	3	3	11	5	1	2	2
Glyma.01G062000	12	3	20	3	42	2	18	77	28	15	1	27	5	15	8	38	7	48	3	8	77	60	19	8	28	8
Glyma.01G062300	9	3	7	9	37	5	10	34	27	12	1	20	0	9	7	10	11	52	7	7	39	15	18	6	34	7
Glyma.01G062400	16	0	2	1	2	1	2	5	35	0	1	4	2	25	1	0	0	5	1	4	2	42	0	0	11	0
Glyma.01G063000	38	22	42	28	163	22	37	153	66	225	15	83	4	41	24	74	30	220	21	17	193	108	213	22	111	9
Glyma.01G063600	24	21	16	32	81	24	29	87	71	54	2	93	8	29	33	25	33	107	26	32	87	89	66	8	89	11
Glyma.01G063700	17	24	42	24	261	24	17	298	68	74	6	202	5	30	28	83	25	333	19	37	430	80	101	13	262	2
Glyma.01G063800	12	9	10	30	67	5	15	79	45	20	5	42	2	11	3	14	27	70	4	33	56	46	8	4	23	3
Glyma.01G064400	18	34	19	22	177	25	24	133	46	116	8	83	1	20	30	37	24	198	21	28	152	68	172	30	93	10
Glyma.01G064600	20	20	8	18	109	21	28	68	68	76	11	117	10	24	21	9	23	85	38	36	87	94	104	17	150	12
Glyma.01G064900	8	1	26	11	31	7	9	99	47	37	3	54	6	15	4	25	9	33	3	13	184	63	31	3	75	26
Glyma.01G065100	24	16	9	24	93	17	19	92	61	30	8	58	18	14	21	20	26	145	5	23	103	67	43	11	86	17
Glyma.01G066600	5	4	10	5	24	3	9	16	16	13	4	11	4	13	4	6	7	36	4	4	25	20	11	3	15	4
Glyma.01G067000	24	12	34	53	169	16	16	108	75	37	2	106	20	30	21	35	54	198	11	27	89	79	39	10	132	27
Glyma.01G067100	3	5	13	25	94	10	17	59	47	24	12	64	8	6	5	16	23	89	8	31	81	38	24	13	103	19
Glyma.01G067600	0	0	4	6	9	1	4	24	18	4	3	9	2	0	0	3	1	14	1	1	25	12	3	1	14	4
Glyma.01G067900	12	2	4	6	16	5	1	14	17	6	2	12	2	10	4	9	9	20	3	6	16	17	9	2	4	1
Glyma.01G068000	48	7	22	39	136	26	17	72	53	28	6	83	2	62	18	16	43	126	24	29	75	87	37	12	90	2
Glyma.01G068600	23	4	10	19	46	6	5	30	50	9	12	31	2	14	6	11	15	36	19	5	33	42	12	9	36	1
Glyma.01G068800	15	5	42	10	96	9	18	63	59	21	4	72	5	24	7	61	23	148	8	15	85	87	26	6	98	9
Glyma.01G069000	1	0	0	1	6	3	4	9	6	9	3	8	0	2	4	1	1	12	10	6	13	13	7	1	29	2
Glyma.01G069500	7	5	5	14	91	3	5	51	28	9	2	43	2	20	11	10	12	97	9	11	71	43	23	4	52	2
Glyma.01G070300	9	3	3	1	18	3	13	14	10	23	12	8	3	15	6	6	2	31	4	13	20	9	15	33	21	4
Glyma.01G070400	4	14	7	5	36	9	2	17	6	78	3	11	0	3	10	5	2	35	9	0	14	6	72	7	12	3
Glyma.01G070700	5	7	4	6	27	2	6	21	20	5	1	19	2	10	5	2	5	28	1	3	26	17	7	2	19	1
Glyma.01G071300	158	198	240	253	1110	172	486	449	269	752	60	702	23	224	248	315	249	1267	203	628	427	220	931	96	711	42
Glyma.01G071700	16	21	2	45	21	17	104	17	61	4	12	79	1	19	32	11	29	26	23	127	10	85	6	21	85	2
Glyma.01G072000	2	2	0	2	8	2	1	6	10	4	1	5	1	3	3	5	2	10	1	7	5	5	3	1	8	0
Glyma.01G072900	7	7	4	4	20	1	6	13	22	12	0	17	3	9	9	5	2	27	5	11	29	23	13	3	23	3
Glyma.01G073000	27	26	32	77	145	49	62	224	115	60	17	149	13	48	45	45	101	203	41	74	288	159	89	9	236	16
Glyma.01G074400	35	18	21	25	114	18	31	108	95	50	2	80	15	47	20	28	38	116	23	20	132	87	79	12	98	10
Glyma.01G074500	8	39	9	17	73	29	12	39	25	281	2	60	14	14	26	14	6	73	20	14	49	32	347	8	56	14
Glyma.01G074600	2	0	3	1	12	2	4	6	3	50	0	10	2	1	1	2	0	11	0	2	10	3	60	1	9	0
Glyma.01G074000	135	100	144	164	625	121	125	510	346	323	32	404	40	176	133	189	176	733	127	153	515	410	389	63	551	50
Glyma.01G073500	7	2	3	2	23	2	6	29	25	9	1	6	7	7	10	2	3	25	3	5	16	27	11	2	7	4
Glyma.01G073400	36	24	15	13	92	20	18	70	53	54	6	59	5	48	30	14	23	103	12	21	67	51	62	8	76	7
Glyma.01G074700	107	62	53	138	422	51	66	460	264	124	18	416	24	127	93	80	163	512	74	72	558	299	194	43	548	45
Glyma.01G074800	0	2	2	4	13	0	2	9	2	3	1	5	0	5	2	3	2	26	2	3	10	4	2	1	8	0
Glyma.01G075100	4	1	1	1	4	2	7	3	6	7	1	7	0	4	2	1	2	13	0	0	7	7	10	0	4	1
Glyma.01G075300	7	7	2	7	29	6	14	13	20	23	1	13	2	14	8	6	11	28	3	10	20	34	15	4	31	0
Glyma.01G075400	19	29	15	26	72	14	14	72	86	66	6	63	9	29	29	23	36	77	19	20	83	77	73	13	88	14
Glyma.01G076100	7	9	7	13	63	8	10	40	42	19	3	24	8	13	10	16	19	65	12	6	36	31	8	3	32	5
Glyma.01G076900	1	8	66	25	63	3	3	6	4	4	0	12	1	4	3	116	21	74	3	3	7	5	6	0	7	2
Glyma.01G077100	8	0	0	1	4	2	6	51	9	1	0	10	2	2	1	1	1	2	2	3	96	9	5	6	17	3
Glyma.01G077200	89	43	72	77	313	58	62	171	194	151	25	201	24	75	45	78	71	314	40	70	217	224	150	36	192	36
Glyma.01G077300	40	19	35	46	226	36	39	187	137	56	12	162	19	51	27	57	58	284	37	44	211	176	58	18	204	17
Glyma.01G077400	75	53	50	89	273	38	98	246	193	118	15	190	27	102	51	114	97	303	44	91	218	228	109	32	227	33
Glyma.01G077600	3	5	8	10	24	6	6	17	17	15	4	10	0	6	14	6	6	28	2	6	33	24	21	7	26	3
Glyma.01G078200	2	3	1	3	30	3	3	11	7	9	2	6	0	1	1	2	10	26	1	1	15	4	10	1	8	0
Glyma.01G078400	9	4	1	1	21	1	7	7	17	7	3	15	2	8	3	2	2	22	3	8	11	19	11	3	9	0
Glyma.01G079100	10	29	26	39	208	27	19	121	50	95	3	113	12	17	30	35	49	244	21	17	132	59	146	10	145	18
Glyma.01G079200	9	4	2	3	18	3	11	12	16	15	0	20	1	8	9	6	3	26	3	5	13	18	11	2	16	1
Glyma.01G079300	21	10	55	58	396	31	35	128	52	165	9	82	9	21	21	121	78	557	55	50	172	72	215	14	94	13
Glyma.01G079500	4	2	1	1	19	5	13	13	7	7	0	15	1	8	2	3	1	20	3	11	11	10	10	8	11	0
Glyma.01G080200	15	8	9	12	68	4	9	33	43	16	3	33	4	33	8	15	14	75	6	15	27	48	9	5	56	8
Glyma.01G080400	3	2	2	2	17	0	4	3	8	4	1	5	1	3	1	5	4	17	3	0	7	13	2	1	4	3
Glyma.01G080500	50	58	73	61	308	26	79	181	135	79	23	180	18	37	35	87	92	252	35	114	201	174	77	35	237	24
Glyma.01G080600	46	28	62	78	263	28	45	550	117	312	12	311	4	93	32	98	189	647	42	76	1257	216	373	25	622	27
Glyma.01G080700	31	12	15	13	96	15	12	57	37	28	3	71	3	58	16	16	12	125	19	15	77	36	42	10	67	6
Glyma.01G080900	12	0	5	6	7	1	4	3	10	2	2	15	0	18	1	5	6	15	2	17	10	27	3	2	14	1
Glyma.01G081100	1	2	1	6	8	2	6	13	8	4	0	9	0	5	6	2	0	12	2	9	21	7	8	0	12	0
Glyma.01G081300	10	0	7	4	18	1	3	10	13	10	1	11	0	48	2	10	5	47	0	8	14	24	4	0	17	1
Glyma.01G081500	39	28	49	51	200	40	37	162	91	82	18	156	20	41	54	66	46	219	35	44	192	104	108	18	133	26
Glyma.01G081600	3	1	6	0	26	0	3	4	1	1	0	4	0	4	0	14	2	53	0	7	6	2	2	0	12	0
Glyma.01G081900	12	173	63	15	14	5	4	6	1	3	2	7	1	25	250	90	14	14	5	2	5	6	6	2	0	0
Glyma.01G082000	0	3	2	1	10	1	6	10	6	6	2	3	107	2	0	2	1	9	2	2	10	7	3	1	6	98
Glyma.01G082200	38	42	30	39	197	25	37	126	98	91	13	115	76	37	57	47	40	240	40	36	167	97	111	41	148	61
Glyma.01G082400	77	147	117	202	619	148	105	386	205	464	27	398	34	93	200	180	241	795	181	140	456	246	721	48	440	47
Glyma.01G082500	8	4	4	5	29	2	10	25	19	21	1	19	13	8	4	7	1	24	5	8	15	34	32	4	17	17
Glyma.01G082700	59	61	93	58	342	50	53	251	195	253	39	176	28	62	50	97	94	413	41	63	283	232	224	57	296	33
Glyma.01G083000	8	8	21	4	100	7	34	33	17	158	7	22	15	9	19	37	10	119	4	74	30	33	241	7	30	9
Glyma.01G083400	3	4	6	3	23	3	1	7	15	12	1	10	0	8	2	3	5	19	1	3	15	8	7	1	6	0
Glyma.01G083500	4	12	15	15	55	3	10	23	44	21	3	28	8	10	8	19	15	51	1	13	28	33	29	6	25	3
Glyma.01G083700	1	4	1	0	9	1	4	7	13	8	1	9	0	1	6	2	2	11	1	6	10	11	7	1	8	1
Glyma.01G084500	33	13	25	26	80	8	12	77	124	24	3	85	1	50	18	27	19	109	14	18	76	136	33	3	87	6
Glyma.01G084700	3	3	1	2	15	4	6	15	12	7	1	13	1	5	4	4	5	29	2	3	19	5	14	2	11	0
Glyma.01G086000	8	2	2	0	2	2	1	4	14	12	0	4	1	16	0	1	0	5	1	2	6	14	9	3	6	2
Glyma.01G086201	102	105	131	163	683	149	162	508	293	508	28	498	59	115	161	200	202	768	116	173	604	364	586	61	599	59
Glyma.01G086600	47	108	56	89	325	61	30	181	159	211	20	185	8	45	101	113	90	391	48	37	185	146	222	33	209	19
Glyma.01G086700	21	12	29	15	114	7	19	71	46	14	7	63	0	18	23	52	19	113	7	41	56	43	43	13	87	1
Glyma.01G086900	2	2	2	1	6	1	1	2	3	41	0	3	0	13	2	1	1	13	4	1	2	3	73	1	7	0
Glyma.01G087500	44	68	133	135	673	57	56	416	176	136	33	411	23	84	123	272	207	933	93	66	465	270	257	32	506	37
Glyma.01G087700	22	18	26	28	133	20	13	50	48	18	2	70	1	24	33	24	27	172	30	13	61	46	32	8	65	5
Glyma.01G087800	7	1	7	10	36	8	9	16	17	11	8	23	2	5	3	6	15	40	7	2	25	17	9	5	35	1
Glyma.01G087900	13	2	7	16	83	3	5	20	7	2	1	24	0	8	2	10	14	89	1	3	21	7	8	5	27	7
Glyma.01G088200	12	22	22	29	183	8	8	125	26	75	8	71	2	15	18	29	26	186	8	12	103	19	110	16	88	10
Glyma.01G089100	22	9	10	13	65	7	12	39	34	20	6	31	8	11	4	21	17	80	7	9	50	43	18	8	52	9
Glyma.01G089300	3	1	7	5	119	3	3	18	15	13	4	8	0	5	3	8	6	122	6	3	24	11	19	1	8	2
Glyma.01G089500	22	10	8	21	58	3	8	42	52	33	7	51	5	22	13	19	28	72	8	19	60	47	27	12	61	12
Glyma.01G089900	40	19	23	25	113	20	15	92	105	49	6	74	9	36	33	30	34	138	22	24	99	98	45	14	119	15
Glyma.01G090002	19	8	5	21	77	9	17	36	29	18	3	42	3	29	5	7	13	58	8	16	37	31	25	6	34	4
Glyma.01G090102	11	1	0	14	31	2	7	14	9	14	1	17	1	6	10	5	13	34	4	9	12	13	6	3	22	4
