RNA_rt3:Cortex	RNA_rt3:Endodermis	RNA_rt3:Epidermis	RNA_rt3:Pericycle	RNA_rt3:Phloem	RNA_rt3:Procambium	RNA_rt3:Root_hair	RNA_rt3:Xylem	RNA_rt4:Cortex	RNA_rt4:Endodermis	RNA_rt4:Epidermis	RNA_rt4:Pericycle	RNA_rt4:Phloem	RNA_rt4:Procambium	RNA_rt4:Root_hair	RNA_rt4:Xylem
Glyma.01G097200	54	10	84	8	3	30	10	5	218	22	155	16	7	84	15	7
Glyma.01G097500	70	10	64	7	1	19	8	0	151	25	103	19	0	72	11	3
Glyma.01G098000	51	11	34	20	2	34	4	8	108	17	49	24	18	80	7	18
Glyma.01G098400	10	3	20	2	3	6	0	0	29	0	33	0	4	6	2	0
Glyma.01G098700	144	46	136	34	1	60	28	6	316	72	233	37	15	117	70	4
Glyma.01G099100	31	7	19	4	3	10	0	0	51	8	47	9	4	28	4	1
Glyma.01G099600	62	10	46	3	2	9	6	0	94	16	88	10	4	31	12	4
Glyma.01G099700	137	20	79	23	5	42	10	2	260	42	111	34	8	130	16	6
Glyma.01G100100	26	7	21	1	0	6	2	4	42	9	36	5	2	10	8	3
Glyma.01G100200	33	4	29	4	2	11	3	2	57	8	56	10	3	28	5	2
Glyma.01G100600	17	5	20	2	0	4	1	0	45	6	37	4	1	20	7	3
Glyma.01G100900	29	1	19	3	5	6	4	1	45	15	23	4	1	24	4	4
Glyma.01G102300	34	2	20	2	2	3	1	3	46	11	17	4	1	8	1	5
Glyma.01G102400	16	1	8	3	2	4	0	0	37	3	21	2	5	8	0	4
Glyma.01G102600	198	60	106	35	9	68	34	10	317	107	209	62	31	185	40	18
Glyma.01G103200	55	4	40	10	1	20	32	3	97	18	77	15	1	34	63	1
Glyma.01G103500	124	14	95	35	6	40	9	1	282	32	166	68	15	99	23	8
Glyma.01G105500	69	8	44	2	3	7	2	2	90	15	77	6	1	39	12	3
Glyma.01G106000	79	2	65	7	11	27	10	3	151	24	94	23	10	55	8	6
Glyma.01G106200	11	3	7	7	8	13	4	6	24	17	10	8	14	36	7	5
Glyma.01G106600	30	13	21	6	3	18	5	0	66	31	50	15	2	45	7	2
Glyma.01G107850	34	52	15	2	2	42	1	2	73	71	38	6	2	89	5	13
Glyma.01G108000	34	12	30	3	0	5	9	1	66	20	75	8	3	25	18	2
Glyma.01G108700	301	17	332	10	13	57	262	8	536	56	653	36	15	189	342	13
Glyma.01G109100	13	2	9	3	3	5	0	1	30	3	30	2	5	16	5	2
Glyma.01G109300	40	4	8	5	6	27	2	0	47	19	32	7	7	39	3	19
Glyma.01G109600	64	6	46	2	3	9	11	3	145	18	85	11	15	31	21	4
Glyma.01G109800	40	8	24	1	2	9	12	1	102	8	28	12	6	22	27	2
Glyma.01G110900	40	8	26	1	1	7	5	0	47	14	59	5	2	27	7	0
Glyma.01G111200	180	24	154	17	2	61	14	1	319	85	302	28	5	120	34	10
Glyma.01G111300	183	27	162	18	4	37	9	3	327	76	289	29	8	119	14	0
Glyma.01G112300	28	3	20	7	1	15	2	1	52	12	34	14	1	56	6	0
Glyma.01G112700	41	17	17	5	2	21	2	3	99	34	34	17	6	48	5	4
Glyma.01G112900	52	14	40	3	2	20	0	0	86	10	65	14	6	61	3	2
Glyma.01G113000	46	6	44	9	4	7	4	1	93	15	74	11	1	26	8	4
Glyma.01G114400	44	3	38	7	3	12	4	0	67	14	69	10	7	25	12	6
Glyma.01G115000	31	1	31	2	4	2	1	1	50	8	49	1	5	21	6	4
Glyma.01G115500	97	2	152	2	0	7	10	1	136	12	206	4	1	21	15	11
Glyma.01G115600	19	0	18	1	0	4	0	0	42	3	35	1	0	5	2	0
Glyma.01G116000	183	8	100	10	10	23	14	11	363	25	208	16	37	72	37	14
Glyma.01G116100	44	6	40	2	1	7	4	0	73	14	61	8	2	23	7	0
Glyma.01G116300	226	5	181	4	0	7	8	1	489	18	327	8	6	37	21	10
Glyma.01G117900	69	5	48	2	2	18	2	2	159	18	74	16	4	32	6	1
Glyma.01G118200	17	1	22	1	0	4	4	0	23	4	17	1	1	7	3	4
Glyma.01G118350	238	27	132	16	5	80	5	1	422	87	243	44	9	184	28	3
Glyma.01G118800	185	35	188	22	3	58	10	0	393	71	304	35	6	147	18	8
Glyma.01G118900	120	12	89	8	1	37	2	0	240	31	149	25	2	80	9	1
Glyma.01G119400	35	9	18	1	0	8	1	2	68	18	45	7	0	35	6	3
Glyma.01G119500	115	47	34	44	3	37	3	2	232	87	87	42	9	102	10	3
Glyma.01G121218	37	7	38	3	3	11	2	3	54	12	43	10	8	14	12	6
Glyma.01G121400	92	10	59	12	0	29	5	0	149	41	114	24	2	89	14	4
Glyma.01G122100	118	13	99	19	5	49	7	1	202	70	158	23	2	97	20	2
Glyma.01G122300	115	12	75	9	1	17	3	1	201	36	164	13	2	60	11	3
Glyma.01G123300	75	10	43	8	2	24	8	1	124	27	96	13	3	53	12	5
Glyma.01G124300	32	4	14	1	4	5	3	5	44	4	33	2	4	20	6	7
Glyma.01G124602	56	10	57	7	2	12	10	2	118	23	105	13	5	36	8	7
Glyma.01G124700	47	5	48	9	6	6	1	1	109	9	96	15	7	12	8	6
Glyma.01G124900	50	1	28	2	3	9	11	5	85	9	57	7	8	20	19	9
Glyma.01G125100	16	3	16	0	1	2	1	0	32	9	32	1	6	11	1	0
Glyma.01G125600	39	3	24	5	0	3	5	1	69	11	56	6	2	21	13	5
Glyma.01G125900	97	16	66	17	1	34	75	5	162	28	108	21	10	66	99	10
Glyma.01G126000	24	1	12	1	2	2	2	2	43	4	20	2	5	10	11	6
Glyma.01G126200	78	6	41	27	2	27	3	0	170	15	91	41	9	37	12	1
Glyma.01G127200	212	5	123	3	3	13	90	3	363	21	222	7	2	59	144	17
Glyma.01G127900	22	1	23	0	1	5	4	0	68	3	48	3	10	12	10	1
Glyma.01G128100	98	7	96	3	7	41	5	1	222	45	171	13	14	84	17	8
Glyma.01G128200	16	8	9	17	1	12	2	0	36	13	14	16	2	28	3	4
Glyma.01G128700	90	16	75	10	3	22	4	3	200	24	120	23	9	50	6	4
Glyma.01G129100	87	7	82	2	2	5	44	0	213	23	179	3	5	36	102	2
Glyma.01G129400	179	19	89	93	20	106	8	4	331	75	161	181	37	211	15	13
Glyma.01G131500	59	21	34	10	4	15	10	4	142	31	70	11	20	33	15	7
Glyma.01G131800	28	2	39	3	0	6	2	0	68	11	76	12	2	22	10	1
Glyma.01G132300	97	21	107	5	1	18	12	0	193	25	182	7	3	47	19	1
Glyma.01G132400	54	7	52	8	1	10	4	0	112	21	116	7	5	31	9	3
Glyma.01G133400	46	1	24	2	4	7	28	7	106	11	43	4	10	9	38	12
Glyma.01G134200	14	3	5	5	2	14	0	1	28	5	12	17	6	31	3	1
Glyma.01G134400	157	18	159	16	4	44	11	1	298	48	261	25	5	109	23	11
Glyma.01G135900	16	3	19	1	0	5	1	1	27	5	36	1	0	8	2	0
Glyma.01G136000	55	8	40	5	2	12	2	1	94	17	64	9	4	34	6	2
Glyma.01G136100	26	5	22	4	0	12	1	0	55	7	37	6	2	19	7	2
Glyma.01G136300	26	5	31	0	2	7	6	2	86	7	57	5	4	20	3	3
Glyma.01G136500	26	3	24	1	1	7	2	0	37	3	46	3	0	7	5	0
Glyma.01G137300	103	16	99	19	1	44	3	2	239	47	180	28	4	87	22	5
Glyma.01G138300	137	22	109	17	5	52	12	2	276	61	160	29	6	122	21	9
Glyma.01G138800	38	6	26	8	3	10	3	0	56	11	34	2	2	32	10	1
Glyma.01G139600	38	13	66	4	3	13	3	1	93	24	105	9	4	35	7	2
Glyma.01G139700	37	4	25	3	1	13	0	0	91	29	64	8	2	44	9	1
Glyma.01G140200	87	13	78	9	2	23	2	0	190	38	124	18	1	66	14	3
Glyma.01G140600	270	53	196	37	2	129	21	0	518	110	386	82	12	290	58	11
Glyma.01G142300	89	6	137	6	3	13	15	2	159	25	202	7	9	31	33	3
Glyma.01G142700	99	27	88	9	6	49	6	1	222	57	136	27	20	154	13	5
Glyma.01G142800	34	5	34	2	1	4	2	1	57	10	43	2	0	17	1	1
Glyma.01G143100	78	35	48	5	2	30	8	3	168	73	126	11	8	86	10	6
Glyma.01G143700	170	26	160	6	0	36	14	1	278	46	235	20	1	76	19	7
Glyma.01G144200	60	8	42	5	3	19	8	0	108	33	76	6	2	38	12	4
Glyma.01G144800	22	1	22	3	0	6	2	0	72	9	42	3	3	18	5	5
Glyma.01G144900	59	7	47	2	2	14	1	0	111	14	92	10	3	30	9	2
Glyma.01G145000	44	3	21	4	1	5	5	5	61	6	47	7	9	11	17	6
Glyma.01G145300	22	4	20	1	2	7	3	0	31	13	24	5	2	20	7	0
Glyma.01G145400	21	5	23	6	3	7	0	1	54	4	28	10	0	16	4	0
Glyma.01G145600	107	6	100	19	1	20	11	0	214	29	199	15	5	60	30	12
Glyma.01G146100	78	7	64	7	2	14	6	1	125	15	85	10	6	38	14	5
Glyma.01G146400	47	9	41	1	4	21	5	1	95	17	71	11	18	38	6	8
Glyma.01G146600	37	18	26	8	2	27	4	0	118	45	33	10	3	49	3	4
Glyma.01G146900	15	2	14	1	0	5	0	0	48	3	38	8	2	11	2	2
Glyma.01G147800	259	57	240	35	9	87	15	2	531	104	343	77	16	247	39	10
Glyma.01G148100	47	8	35	5	1	30	3	1	86	18	62	17	0	43	3	2
Glyma.01G148201	16	6	14	1	0	6	1	0	22	9	25	3	3	15	4	0
Glyma.01G148300	25	6	35	1	1	8	5	0	52	6	51	3	0	12	5	0
Glyma.01G148500	72	23	95	10	12	23	8	4	154	26	145	22	7	55	18	2
Glyma.01G148600	23	9	25	1	0	4	1	0	55	14	27	8	0	16	6	0
Glyma.01G149000	596	140	357	91	17	161	50	8	1103	322	601	164	38	401	137	30
Glyma.01G149300	69	19	25	13	1	28	0	1	188	32	43	19	4	104	13	6
Glyma.01G149400	26	2	21	0	0	1	2	0	58	13	51	2	0	18	4	2
Glyma.01G149700	21	3	23	0	0	9	2	1	56	9	38	2	0	13	4	0
Glyma.01G149800	27	1	15	1	1	3	2	0	36	7	28	3	0	8	2	1
Glyma.01G149900	27	5	29	4	3	4	1	1	71	12	43	7	3	20	4	3
Glyma.01G150200	26	0	15	0	1	5	3	1	31	4	37	2	3	7	4	4
Glyma.01G150400	96	11	78	3	2	20	11	6	148	21	114	7	13	51	20	3
Glyma.01G150500	17	1	16	2	1	4	3	1	31	3	32	3	1	22	4	1
Glyma.01G150600	155	18	146	5	6	15	23	8	307	27	235	16	24	44	56	19
Glyma.01G150700	44	6	9	10	2	18	0	1	67	13	37	7	5	66	7	8
Glyma.01G150800	64	9	49	3	3	8	2	0	106	11	61	7	6	24	17	0
Glyma.01G151600	323	20	92	28	8	79	18	2	496	47	145	56	26	229	29	5
Glyma.01G151800	25	3	18	2	0	7	0	0	41	3	27	7	0	13	3	1
Glyma.01G153000	29	2	28	3	1	3	2	1	48	6	53	0	0	12	6	2
Glyma.01G153200	40	6	13	1	2	10	1	0	56	21	20	4	3	30	4	4
Glyma.01G153300	362	76	76	123	52	258	22	3	674	236	199	169	60	568	34	16
Glyma.01G154100	40	8	16	4	3	8	0	1	61	14	43	13	4	38	6	4
Glyma.01G154200	21	1	9	2	1	4	2	3	34	5	18	3	6	5	4	6
Glyma.01G154300	88	17	64	5	6	28	7	5	193	32	128	9	19	68	26	6
Glyma.01G154600	170	26	144	26	4	66	11	4	308	69	256	38	12	158	32	9
Glyma.01G154700	33	4	32	3	0	7	0	0	45	10	47	7	1	27	8	2
Glyma.01G155200	25	2	21	5	0	10	0	1	52	10	28	11	0	19	1	1
Glyma.01G155300	25	4	8	4	0	10	1	0	39	14	17	3	3	29	4	7
Glyma.01G155600	68	10	39	8	2	14	2	0	148	22	63	1	0	42	11	2
Glyma.01G155800	39	6	29	3	0	7	4	0	54	4	29	6	2	11	2	2
Glyma.01G156000	54	11	62	4	3	18	5	0	85	21	71	9	5	35	18	7
Glyma.01G156200	299	7	764	6	10	22	18	2	533	29	1209	12	4	88	50	12
Glyma.01G156400	25	2	17	2	0	6	2	0	43	7	30	2	2	18	3	0
Glyma.01G156600	39	4	32	1	2	7	6	1	56	24	41	2	1	9	10	1
Glyma.01G156800	28	3	7	2	1	18	1	1	68	5	15	2	1	45	8	4
Glyma.01G157000	45	9	31	6	0	19	6	3	152	36	43	16	0	59	6	4
Glyma.01G157500	226	12	266	13	0	18	9	1	403	29	452	25	6	59	26	3
Glyma.01G157800	65	10	58	2	0	20	2	0	114	21	70	10	2	30	11	3
Glyma.01G157900	23	1	9	14	1	14	0	0	51	11	21	18	7	29	0	0
Glyma.01G158200	54	4	42	4	3	14	3	0	101	22	84	8	3	29	3	3
Glyma.01G158300	26	9	20	3	3	4	3	1	60	7	28	5	6	12	2	0
Glyma.01G158400	48	13	32	10	1	20	5	1	112	35	83	12	4	84	13	0
Glyma.01G158500	37	15	40	2	1	13	3	0	81	13	66	8	3	23	10	0
Glyma.01G159000	39	5	19	4	0	8	5	1	60	17	51	5	2	17	9	2
Glyma.01G159400	54	5	55	1	1	11	8	0	108	20	73	11	4	38	13	2
Glyma.01G159500	70	7	46	6	1	14	4	1	95	16	103	12	6	49	17	3
Glyma.01G159600	17	2	14	2	0	4	0	0	31	4	14	1	1	14	1	0
Glyma.01G159900	207	53	137	29	4	83	6	3	395	84	225	44	15	214	31	10
Glyma.01G161200	144	20	127	12	8	42	8	2	248	38	189	34	25	124	17	14
Glyma.01G161500	123	15	44	11	11	24	4	1	214	40	77	15	18	52	10	11
Glyma.01G161600	402	46	215	46	5	119	27	2	723	91	442	90	16	253	32	15
Glyma.01G161700	31	8	18	6	1	17	7	1	55	22	15	10	4	50	5	1
Glyma.01G162000	100	20	75	12	3	21	5	1	188	36	152	14	12	64	16	14
Glyma.01G162100	42	12	29	8	3	22	3	0	97	39	75	7	5	47	13	2
Glyma.01G162200	115	18	108	18	5	44	12	0	227	38	167	26	9	108	24	4
Glyma.01G162700	56	5	45	2	1	12	8	5	117	14	83	4	5	32	12	3
Glyma.01G162800	128	21	99	9	1	37	10	1	281	42	175	45	10	89	34	3
Glyma.01G162900	10	1	6	1	0	5	29	0	14	3	12	3	2	7	49	0
Glyma.01G163000	162	35	209	21	6	40	56	3	343	82	316	34	7	132	123	18
Glyma.01G163300	144	24	117	11	1	48	11	0	221	63	169	27	5	116	27	15
Glyma.01G163900	89	5	43	9	16	9	12	7	165	10	94	8	32	17	23	16
Glyma.01G164000	20	7	3	23	4	12	2	1	31	5	9	36	7	32	1	1
Glyma.01G164100	112	18	93	5	4	29	14	2	188	38	181	26	3	81	19	5
Glyma.01G164200	24	8	17	1	2	5	5	5	63	6	39	4	5	13	6	3
Glyma.01G164300	20	0	33	2	2	4	0	2	41	6	22	6	1	16	0	4
Glyma.01G164400	15	7	18	0	1	7	2	1	47	9	31	1	0	12	3	0
Glyma.01G164900	31	1	29	2	0	6	1	0	64	8	46	5	1	26	10	1
Glyma.01G165100	62	9	57	5	0	16	4	1	144	37	97	12	3	52	10	7
Glyma.01G165300	29	2	14	1	3	7	10	2	38	10	24	6	5	9	7	0
Glyma.01G165400	15	2	4	5	0	18	2	0	20	3	4	16	5	27	2	1
Glyma.01G165900	30	6	56	2	2	9	8	1	79	12	89	6	4	22	18	0
Glyma.01G166000	437	29	502	16	20	44	45	5	730	42	723	31	34	116	93	26
Glyma.01G166100	187	29	192	15	4	43	17	2	372	76	303	30	14	137	50	12
Glyma.01G166400	140	31	138	14	5	31	7	1	291	65	232	33	6	124	24	5
Glyma.01G166700	22	6	35	1	2	6	3	2	79	11	53	12	2	19	13	1
Glyma.01G167300	88	6	35	6	4	16	5	19	154	9	56	8	15	50	30	20
Glyma.01G167600	18	2	23	2	1	9	0	0	41	14	18	7	2	16	7	0
Glyma.01G168000	35	2	22	3	4	10	7	5	70	7	46	1	8	15	13	11
Glyma.01G168500	36	6	18	3	3	15	6	0	70	14	45	2	3	20	2	6
Glyma.01G168600	90	13	88	8	2	24	11	0	167	34	152	24	6	85	22	2
Glyma.01G168900	62	5	59	6	2	14	4	0	134	29	95	14	4	43	18	2
Glyma.01G169000	98	17	72	13	8	31	17	0	177	23	128	30	10	60	35	5
Glyma.01G169100	81	16	73	11	3	23	13	3	149	34	111	13	2	49	19	5
Glyma.01G169400	26	3	22	1	0	10	0	1	57	7	39	14	3	27	4	3
Glyma.01G169700	49	7	32	4	3	6	6	1	68	11	43	8	2	27	3	4
Glyma.01G169800	20	2	13	3	0	4	4	0	52	11	33	4	0	14	2	1
Glyma.01G170400	52	3	24	4	3	11	2	2	69	10	61	12	2	21	7	3
Glyma.01G170600	99	20	86	13	3	25	4	1	188	48	175	21	3	80	13	5
Glyma.01G170900	32	4	36	7	1	8	13	2	68	11	35	6	6	28	16	4
Glyma.01G171000	32	6	38	3	0	13	6	0	50	11	71	8	0	24	5	1
Glyma.01G171400	17	7	1	17	0	12	1	0	24	14	3	23	11	32	1	2
Glyma.01G171800	15	1	16	1	0	1	4	0	33	1	31	4	5	12	4	3
Glyma.01G172300	25	0	10	1	3	2	3	2	40	5	16	4	5	7	5	7
Glyma.01G172400	42	13	21	9	2	22	3	1	122	24	50	14	10	63	9	4
Glyma.01G172600	336	10	180	4	2	14	96	1	741	51	326	17	14	99	185	23
Glyma.01G173050	48	11	26	8	3	9	1	2	75	18	39	10	6	25	4	1
Glyma.01G173400	13	3	10	1	4	3	4	1	30	6	12	2	2	12	4	0
Glyma.01G173700	13	3	19	4	3	9	3	0	41	7	31	8	5	24	4	7
Glyma.01G174700	17	5	16	1	0	3	0	0	29	6	30	2	0	4	1	0
Glyma.01G174900	67	8	50	4	3	14	3	1	139	13	64	7	4	40	9	0
Glyma.01G175100	243	40	141	22	6	86	21	2	452	108	248	57	19	237	24	12
Glyma.01G175400	20	5	19	2	1	4	1	1	36	10	39	1	2	18	0	0
Glyma.01G175500	15	2	7	3	8	20	2	2	35	6	8	2	7	58	0	1
Glyma.01G175600	58	7	47	8	4	22	6	0	129	27	75	8	3	53	23	13
Glyma.01G175900	72	10	57	6	4	25	12	4	129	29	83	10	9	41	13	4
Glyma.01G176000	32	8	20	1	2	9	3	0	72	10	35	8	2	21	7	1
Glyma.01G176400	31	4	24	5	0	14	2	1	54	10	39	4	2	29	4	3
Glyma.01G176600	85	10	88	6	0	18	12	1	167	11	142	9	8	37	15	4
Glyma.01G176700	13	4	16	0	0	6	0	0	32	7	24	2	1	18	1	3
Glyma.01G176800	78	7	59	6	6	6	7	3	136	26	91	16	4	59	19	4
Glyma.01G177300	18	1	16	2	0	5	6	1	42	4	28	4	1	17	6	3
Glyma.01G177400	31	1	8	1	2	8	0	1	50	8	16	7	2	33	4	0
Glyma.01G177700	251	34	156	30	6	54	3	4	436	82	223	35	12	101	19	9
Glyma.01G178000	112	12	68	9	6	21	15	5	225	32	113	23	14	61	28	9
Glyma.01G178100	43	5	35	2	1	9	4	1	81	14	54	0	4	29	6	3
Glyma.01G178200	106	9	66	5	8	12	17	5	174	19	93	11	14	40	21	9
Glyma.01G178500	303	31	143	36	8	98	70	6	728	80	289	81	10	197	138	15
Glyma.01G178600	36	3	22	1	3	11	8	1	80	10	43	9	8	31	9	2
Glyma.01G179800	104	19	115	15	2	18	4	1	204	38	160	20	5	66	23	1
Glyma.01G179900	51	1	72	0	0	2	1	2	91	4	142	2	4	26	7	0
Glyma.01G180100	50	9	48	4	5	18	5	3	117	40	90	6	6	28	5	6
Glyma.01G180200	19	12	3	2	0	4	0	0	57	31	13	2	0	10	2	1
Glyma.01G180432	17	2	40	0	0	6	10	0	42	2	45	5	2	10	14	3
Glyma.01G180700	157	2	101	3	1	8	4	0	280	16	149	8	1	37	13	1
Glyma.01G181200	12	1	16	2	1	4	2	3	34	6	19	3	2	10	0	0
Glyma.01G181500	23	5	13	3	0	10	1	0	37	7	27	14	3	28	3	2
Glyma.01G182000	34	2	14	7	0	20	2	1	59	15	47	15	4	36	6	3
Glyma.01G182400	78	13	148	8	1	18	15	1	194	25	258	13	13	59	23	8
Glyma.01G183100	19	5	8	6	3	29	26	1	34	1	14	3	2	55	32	5
Glyma.01G183300	160	28	68	17	10	46	17	0	274	48	115	33	13	171	35	3
Glyma.01G183400	101	22	69	19	5	23	24	0	155	30	131	13	5	73	39	0
Glyma.01G183500	174	16	116	21	7	59	5	2	297	42	194	44	9	129	21	8
Glyma.01G183600	98	15	79	7	3	24	8	1	185	22	147	17	5	48	16	6
Glyma.01G183800	22	6	15	4	0	15	3	0	49	10	35	6	1	25	4	0
Glyma.01G184400	46	5	45	3	3	11	3	1	66	12	83	7	1	18	3	2
Glyma.01G185200	33	2	34	2	6	15	2	2	81	11	48	4	4	27	4	0
Glyma.01G185300	23	1	17	2	0	6	1	0	53	3	30	4	2	19	1	3
Glyma.01G185700	83	10	62	5	3	17	5	1	169	19	109	15	9	48	7	3
Glyma.01G185800	460	46	275	76	12	132	157	4	765	105	399	98	50	276	193	21
Glyma.01G185900	352	26	213	14	7	59	42	9	524	72	308	43	34	162	56	18
Glyma.01G186000	883	143	649	107	22	364	50	4	1528	393	972	181	51	866	122	38
Glyma.01G186400	90	17	73	5	3	38	11	0	131	22	97	9	6	80	14	3
Glyma.01G186600	140	20	32	10	0	10	2	0	274	43	50	13	7	26	18	7
Glyma.01G187200	11	2	28	0	2	2	5	1	38	6	48	2	1	28	23	0
Glyma.01G187400	27	2	27	5	1	18	2	0	38	6	22	8	2	80	7	6
Glyma.01G187700	109	9	79	1	4	19	8	0	148	50	145	8	9	61	20	18
Glyma.01G187800	22	1	21	2	1	2	3	2	50	1	39	4	1	3	14	3
Glyma.01G188000	35	5	33	1	0	13	4	1	67	13	46	5	0	35	6	4
Glyma.01G188400	14	4	18	4	1	7	1	0	25	7	12	8	0	32	1	1
Glyma.01G188500	14	1	22	2	1	1	1	0	33	4	22	4	1	21	7	0
Glyma.01G188600	67	6	51	4	2	20	2	4	85	13	98	13	11	44	5	3
Glyma.01G188700	62	18	47	15	2	32	4	1	90	40	95	25	5	58	12	2
Glyma.01G188900	29	5	17	0	4	2	5	1	43	7	35	2	4	14	5	8
Glyma.01G189100	48	5	21	5	1	10	2	0	84	17	41	5	6	39	3	6
Glyma.01G189400	23	1	18	1	2	10	4	0	26	2	32	5	5	5	9	2
Glyma.01G190100	76	17	56	7	10	23	9	2	164	37	78	13	20	70	13	7
Glyma.01G190800	24	2	11	3	0	6	0	0	26	2	29	3	0	16	4	1
Glyma.01G191100	69	11	70	13	3	28	2	0	127	33	98	10	6	55	17	5
Glyma.01G191300	120	14	53	9	4	30	16	0	178	39	89	11	3	77	25	4
Glyma.01G191800	14	3	16	7	0	13	0	1	38	4	20	3	0	26	4	1
Glyma.01G191900	22	1	12	1	0	2	0	1	29	3	12	0	1	7	4	1
Glyma.01G192000	186	10	68	5	25	17	31	13	332	30	129	10	50	53	34	20
Glyma.01G192100	29	3	37	5	1	6	4	1	53	8	42	8	1	29	7	4
Glyma.01G192600	51	3	21	21	12	41	11	3	116	24	53	37	19	101	10	8
Glyma.01G193600	220	55	141	35	16	81	22	4	400	125	266	55	19	216	67	17
Glyma.01G193700	32	4	29	2	1	5	5	2	89	8	58	6	3	22	13	3
Glyma.01G193800	48	4	24	3	3	2	10	12	81	6	37	3	6	11	18	14
Glyma.01G194100	26	7	39	6	3	14	4	1	81	16	51	7	1	36	8	0
Glyma.01G194200	15	11	9	3	2	8	0	2	30	19	33	12	4	24	1	6
Glyma.01G194500	55	5	39	2	1	8	12	4	103	9	71	3	4	18	12	1
Glyma.01G194600	57	13	49	9	0	10	5	0	103	21	67	13	3	33	5	1
Glyma.01G194800	15	6	17	4	1	5	2	0	25	12	20	4	1	24	3	0
Glyma.01G194900	22	2	10	2	0	8	1	0	37	7	18	4	1	10	2	0
Glyma.01G195400	80	12	60	4	3	12	4	1	124	9	91	6	7	34	16	3
Glyma.01G196000	20	3	17	3	1	12	0	1	39	3	18	6	3	27	0	1
Glyma.01G196300	38	4	35	9	3	9	4	0	75	9	63	8	2	22	6	4
Glyma.01G197100	32	2	20	2	0	9	8	0	36	9	27	5	3	30	8	3
Glyma.01G197900	27	12	9	0	0	4	4	1	50	32	27	2	2	10	8	0
Glyma.01G198500	39	5	45	0	0	5	3	0	83	14	87	5	4	18	6	2
Glyma.01G198600	21	2	28	4	2	5	1	0	39	10	34	2	2	14	2	2
Glyma.01G199000	27	2	24	4	0	8	2	0	54	9	45	4	1	15	8	0
Glyma.01G199100	46	11	35	5	1	8	5	1	69	11	48	8	10	14	6	0
Glyma.01G200000	29	5	36	14	4	9	1	1	56	13	39	13	4	39	5	4
Glyma.01G200200	83	11	70	3	3	10	4	1	171	35	131	22	6	38	10	5
Glyma.01G200466	64	3	29	0	0	6	8	0	117	8	43	4	0	15	11	3
Glyma.01G200532	52	2	13	1	0	6	2	1	74	6	42	4	0	17	7	0
Glyma.01G200700	19	4	18	7	0	4	1	0	44	5	34	10	1	18	3	2
Glyma.01G200900	25	3	33	2	0	6	1	0	59	12	40	7	1	12	4	1
Glyma.01G201100	23	1	13	1	2	4	4	1	48	9	28	2	5	20	9	6
Glyma.01G202000	26	1	32	8	1	11	6	1	66	11	40	4	1	14	7	5
Glyma.01G202500	646	22	303	14	126	38	42	28	864	63	410	26	245	133	86	57
Glyma.01G202600	141	24	97	15	1	31	6	2	197	37	146	24	5	113	14	8
Glyma.01G202800	45	5	39	3	1	20	1	0	79	17	67	4	2	34	5	0
Glyma.01G203000	84	17	42	10	2	33	5	0	124	39	84	18	1	58	4	1
Glyma.01G203100	147	15	86	9	0	38	8	2	271	36	178	25	2	63	14	1
Glyma.01G203200	89	14	39	5	4	26	14	4	146	51	54	19	2	41	9	4
Glyma.01G203300	81	25	32	0	3	13	3	0	145	32	81	21	5	45	9	2
Glyma.01G203400	70	2	44	7	2	8	1	1	158	3	59	11	5	13	7	0
Glyma.01G203500	69	1	45	3	2	16	11	0	161	22	85	7	13	48	16	5
Glyma.01G203600	22	1	15	0	5	3	2	5	36	1	13	2	4	8	5	14
Glyma.01G203700	17	6	15	1	3	4	3	0	47	2	19	4	3	10	8	4
Glyma.01G203800	52	10	39	3	3	5	5	1	94	22	59	7	11	38	16	5
Glyma.01G204000	71	13	48	14	1	27	10	1	158	26	89	22	3	72	20	2
Glyma.01G204300	42	4	29	3	0	7	6	0	89	12	63	11	7	21	10	0
Glyma.01G204900	21	2	30	7	3	16	4	0	91	17	62	9	5	31	3	0
Glyma.01G205100	34	10	50	11	1	14	6	0	70	21	69	7	7	29	12	7
Glyma.01G205200	124	20	93	15	5	45	28	4	230	35	181	28	10	93	71	13
Glyma.01G205700	37	6	23	5	4	17	0	0	66	10	26	5	4	43	7	1
Glyma.01G205800	61	7	51	7	5	14	21	2	114	11	66	8	10	32	24	5
Glyma.01G205900	121	18	41	46	14	70	18	4	252	46	90	69	24	137	23	3
Glyma.01G206000	79	13	77	11	4	23	7	0	155	20	118	31	3	60	13	3
Glyma.01G206600	12	4	8	5	7	8	0	0	18	4	11	9	11	18	1	1
Glyma.01G206700	33	6	28	5	5	9	2	0	41	9	63	7	5	13	5	0
Glyma.01G207200	46	11	26	8	1	15	1	1	90	15	44	11	3	32	6	5
Glyma.01G207300	59	9	19	8	3	33	1	2	134	28	25	15	9	92	9	1
Glyma.01G207400	29	5	24	3	1	6	2	0	43	9	44	3	4	24	4	2
Glyma.01G207500	47	14	32	1	1	10	3	0	76	16	65	13	3	28	11	4
Glyma.01G207700	160	18	104	20	15	47	17	16	248	62	136	32	25	139	35	36
Glyma.01G207800	40	10	25	4	0	12	2	0	80	27	45	5	4	34	1	7
Glyma.01G208100	58	6	53	6	5	9	10	3	113	16	95	7	11	59	8	4
Glyma.01G208200	203	21	48	1	6	29	5	6	399	43	93	4	19	50	4	4
